country,region,value
Afghanistan,AFC,64.0
Albania,UEFA,66.54761904761905
Algeria,CAF,71.625
Andorra,UEFA,63.0
Angola,CAF,68.33333333333333
,,60.857142857142854
Argentina,CONMEBOL,69.61398963730569
Armenia,UEFA,70.0
Aruba,CONCACAF,68.0
Australia,AFC,63.0551724137931
Austria,UEFA,66.51626016260163
Azerbaijan,UEFA,59.25
Bahrain,AFC,71.0
Belarus,UEFA,65.5
Belgium,UEFA,67.90780141843972
Belize,CONCACAF,63.0
Benin,CAF,67.35714285714286
Bermuda,CONCACAF,67.0
Bolivia,CONMEBOL,63.125
,,68.98550724637681
Brazil,CONMEBOL,72.19235511713933
,,57.0
Bulgaria,UEFA,64.71186440677967
Burkina Faso,CAF,66.73913043478261
Burundi,CAF,62.8
Cameroon,CAF,67.6
Canada,CONCACAF,62.023809523809526
Cape Verde,CAF,69.79166666666667
Central African Republic,CAF,69.4
Chad,CAF,70.0
Chile,CONMEBOL,66.19473684210526
China PR,AFC,61.32539682539682
Chinese Taipei,AFC,64.5
Colombia,CONMEBOL,68.29681978798587
Comoros,CAF,66.11111111111111
Congo,CAF,65.77777777777777
Costa Rica,CONCACAF,68.0625
Croatia,UEFA,69.37086092715232
Cuba,CONCACAF,65.0
,,65.8
Cyprus,UEFA,62.7
Czech Republic,UEFA,70.30081300813008
DR Congo,CAF,67.13636363636364
Denmark,UEFA,65.19421487603306
Dominican Republic,CONCACAF,66.2
Ecuador,CONMEBOL,66.92857142857143
Egypt,CAF,71.3529411764706
El Salvador,CONCACAF,66.25
England,UEFA,63.34104046242775
Equatorial Guinea,CAF,66.0
Eritrea,CAF,68.5
Estonia,UEFA,62.2
Faroe Islands,UEFA,66.0
Fiji,OFC,73.0
Finland,UEFA,65.36065573770492
France,UEFA,67.68004012036108
Gabon,CAF,69.0
Gambia,CAF,65.44
Georgia,UEFA,68.33333333333333
Germany,UEFA,66.10463121783876
Ghana,CAF,67.36363636363636
Gibraltar,UEFA,62.0
Greece,UEFA,68.88888888888889
Grenada,CONCACAF,64.5
Guam,AFC,67.0
Guinea,CAF,67.87096774193549
,,66.2
Guyana,CONCACAF,59.6
Haiti,CONCACAF,64.72727272727273
Honduras,CONCACAF,68.08695652173913
Hong Kong,AFC,52.5
Hungary,UEFA,67.5
Iceland,UEFA,66.88679245283019
India,AFC,59.111111111111114
Indonesia,AFC,56.0
Iran,AFC,70.5
Iraq,AFC,69.2
Israel,UEFA,69.15384615384616
Italy,UEFA,68.71735241502684
Ivory Coast,CAF,69.3360655737705
Jamaica,CONCACAF,66.18181818181819
Japan,AFC,65.25429553264605
Jordan,AFC,64.0
Kazakhstan,UEFA,68.33333333333333
Kenya,CAF,65.6
,,65.0
,,64.98611111111111
Kosovo,UEFA,65.6734693877551
Latvia,UEFA,62.5
Lebanon,AFC,65.0
Liberia,CAF,63.8
Libya,CAF,71.25
Liechtenstein,UEFA,59.833333333333336
Lithuania,UEFA,62.8
Luxembourg,UEFA,66.8
Macau,AFC,60.0
Madagascar,CAF,69.625
Malawi,CAF,70.0
Malaysia,AFC,56.0
Mali,CAF,68.06060606060606
Malta,UEFA,62.0
Mauritania,CAF,62.875
Mexico,CONCACAF,66.11111111111111
Moldova,UEFA,66.11111111111111
Montenegro,UEFA,68.72727272727273
Montserrat,CONCACAF,66.33333333333333
Morocco,CAF,70.06382978723404
Mozambique,CAF,73.25
Namibia,CAF,68.0
Netherlands,UEFA,67.85434782608695
New Caledonia,OFC,71.0
New Zealand,OFC,63.294117647058826
Nicaragua,CONCACAF,56.0
Niger,CAF,57.0
Nigeria,CAF,67.60740740740741
North Macedonia,UEFA,67.72727272727273
Northern Ireland,UEFA,63.37837837837838
Norway,UEFA,64.07806691449814
Oman,AFC,68.0
Palestine,AFC,63.5
Panama,CONCACAF,68.0
Papua New Guinea,OFC,64.0
Paraguay,CONMEBOL,66.38728323699422
Peru,CONMEBOL,64.57037037037037
Philippines,AFC,69.5
Poland,UEFA,63.70261437908497
Portugal,UEFA,70.32336956521739
Puerto Rico,CONCACAF,71.0
Qatar,AFC,69.0
Republic of Ireland,UEFA,61.80882352941177
Romania,UEFA,65.18032786885246
Russia,UEFA,70.03539823008849
Rwanda,CAF,66.0
Saint Kitts and Nevis,CONCACAF,67.0
Saint Lucia,CONCACAF,64.0
Saudi Arabia,AFC,61.79381443298969
Scotland,UEFA,63.9695945945946
Senegal,CAF,67.92805755395683
Serbia,UEFA,69.62121212121212
Sierra Leone,CAF,66.1
Slovakia,UEFA,69.7090909090909
Slovenia,UEFA,68.57894736842105
South Africa,CAF,67.89090909090909
South Sudan,CAF,56.0
Spain,UEFA,69.63019891500905
Sri Lanka,AFC,62.0
Sudan,CAF,61.4
Suriname,CONCACAF,68.0
Sweden,UEFA,65.54980079681275
Switzerland,UEFA,65.04433497536945
Syria,AFC,74.5
,,70.0
Tanzania,CAF,76.0
Thailand,AFC,64.66666666666667
Togo,CAF,68.88235294117646
,,66.0
Tunisia,CAF,67.44117647058823
Turkey,UEFA,66.05761316872427
Uganda,CAF,63.5
Ukraine,UEFA,70.46052631578948
United Arab Emirates,AFC,65.11111111111111
United States,CONCACAF,64.25641025641026
Uruguay,CONMEBOL,68.15576323987538
Uzbekistan,AFC,64.75
Venezuela,CONMEBOL,63.88607594936709
Vietnam,AFC,63.5
Wales,UEFA,63.280575539568346
Zambia,CAF,66.63636363636364
Zimbabwe,CAF,68.42857142857143
